Indicator name,indicator,Country name,country,time,value
Domestic food price level index,FAO-21018-6125,Gambia,GMB,2006,6.9
Domestic food price level index,FAO-21018-6125,Gambia,GMB,2007,6.99
Domestic food price level index,FAO-21018-6125,Gambia,GMB,2008,6.99
Domestic food price level index,FAO-21018-6125,Gambia,GMB,2009,6.89
Domestic food price level index,FAO-21018-6125,Gambia,GMB,2010,7.05
Domestic food price level index,FAO-21018-6125,Gambia,GMB,2011,7.12
Domestic food price level index,FAO-21018-6125,Gambia,GMB,2012,7.13
Domestic food price level index,FAO-21018-6125,Gambia,GMB,2013,7.24
Domestic food price level index,FAO-21018-6125,Gambia,GMB,2014,7.25
Domestic food price level index,FAO-21018-6125,Germany,DEU,2000,1.53
Domestic food price level index,FAO-21018-6125,Germany,DEU,2001,1.56
Domestic food price level index,FAO-21018-6125,Germany,DEU,2002,1.55
Domestic food price level index,FAO-21018-6125,Germany,DEU,2003,1.54
